epoch	learning rate	training accuracy	testing accuracy	loss
1	0.001	0.8503432619571686	0.8428210914134979	11.204712867736816
2	0.001	0.8806516063213349	0.8760059252381325	8.593527145385742
3	0.001	0.8942200767993927	0.8914684951305389	7.297555475234986
4	0.001	0.9018376624584198	0.8987818211317062	6.52414984703064
5	0.001	0.9069748723506927	0.9044553190469742	5.998042984008789
6	0.001	0.9119033122062683	0.90989650785923	5.563070831298828
7	0.001	0.9159374904632568	0.9130410477519035	5.228179025650024
8	0.001	0.9195124304294586	0.9159470051527023	4.94715838432312
9	0.001	0.9226635313034057	0.9186159819364548	4.715038270950317
10	0.001	0.9250960457324982	0.9217713326215744	4.515571022033692
11	0.001	0.9275208723545074	0.9235468581318855	4.336458101272583
12	0.001	0.9298150849342346	0.9258047640323639	4.17865074634552
13	0.001	0.9308330416679382	0.926261305809021	4.058873276710511
14	0.001	0.9325191462039948	0.9278054237365723	3.924520812034607
15	0.001	0.9340162777900696	0.9289170503616333	3.823362793922424
16	0.001	0.9361964964866638	0.9304029121994972	3.708066120147705
17	0.001	0.9370111799240113	0.9308466836810112	3.62792019367218
18	0.001	0.9385526704788208	0.9319916367530823	3.53706102848053
19	0.001	0.9399161541461944	0.932749405503273	3.4530219984054566
20	0.001	0.941288480758667	0.9329974874854088	3.3720367431640623
21	0.001	0.9420901358127594	0.9338664934039116	3.3269492101669313
22	0.001	0.9425536239147186	0.9340925961732864	3.260953941345215
23	0.001	0.94336794257164	0.9350292161107063	3.207885060310364
24	0.001	0.9444337439537048	0.9356033354997635	3.1530146694183347
25	0.001	0.945472651720047	0.9366988092660904	3.0896565198898314
26	0.001	0.9462483620643616	0.9361677318811417	3.04798068523407
27	0.001	0.9469780254364014	0.9364148452877998	2.9966364908218384
28	0.001	0.9477290654182434	0.9371603950858116	2.946701626777649
29	0.001	0.9480422782897949	0.9365859553217888	2.9187996578216553
30	0.0007	0.9496717309951782	0.9378066211938858	2.845915822982788
31	0.0007	0.9502490127086639	0.9382566437125206	2.809878067970276
32	0.0007	0.950484277009964	0.9385998919606209	2.7943308401107787
33	0.00049	0.9514724218845367	0.9385227262973785	2.7402650022506716
34	0.00049	0.9519661498069764	0.9388453289866447	2.7195620155334472
35	0.000343	0.9527349829673767	0.939307726919651	2.6792528343200686
